media,date,ranking,title,url,words
excite,2022-12-16,1,上司にパワハラ、懲戒免職＝厚木基地の２等海曹―海自,https://www.excite.co.jp/news/article/Jiji_2867508/,上司 パワハラ 懲戒免職 厚木基地 ２等海曹 海
excite,2022-12-16,2,米、中国半導体の禁輸拡大 安保懸念で36社・団体追加,https://www.excite.co.jp/news/article/Kyodo_976237185239482368/,米 中国半導体 禁輸拡大 安保懸念 36社 団体追加
excite,2022-12-16,3,母親の遺体、山梨に遺棄疑い 26歳男を逮捕、神奈川県警,https://www.excite.co.jp/news/article/Kyodo_976235813910020096/,母親 遺体 山梨 遺棄疑い 26歳男 逮捕 神奈川県警
excite,2022-12-16,4,母と弟のほか友人も殺害か 事故死した男を書類送検,https://www.excite.co.jp/news/article/FNN_976067932119908352/,母 弟 ほか友人 殺害 事故死 男 書類送検
excite,2022-12-16,5,「医療用抗原定性検査キット」販売へ 新型コロナとインフルエンザの両抗原を検出 12月16日より日本調剤の全調剤薬局にて,https://www.excite.co.jp/news/article/AMP_299846/,医療用抗原定性検査キット 販売 新型コロナ インフルエンザ 抗原 検出 12月16日 日本調剤 調剤薬局
excite,2022-12-16,6,安倍昭恵さん経営の居酒屋・UZU閉店から1カ月 ビルに残されていた1枚の貼り紙,https://www.excite.co.jp/news/article/Jisin_2159830/,安倍昭恵さん経営 居酒屋 UZU閉店 1カ月 ビル 1枚 貼り紙
excite,2022-12-16,7,司法修習生６４人感染＝新型コロナ、４０人で会食も―最高裁,https://www.excite.co.jp/news/article/Jiji_2867493/,司法修習生６４人感染 新型コロナ ４０人 会食 最高裁
excite,2022-12-16,8,「省人化」した艦内公開＝新型護衛艦「のしろ」就役―海自,https://www.excite.co.jp/news/article/Jiji_2867453/,省人化 艦内公開 新型護衛艦 就役 海
excite,2022-12-16,9,ベンツ、最上級モデル店オープン,https://www.excite.co.jp/news/article/Jiji_2867410/,ベンツ 最上級モデル店オープン
excite,2022-12-16,10,母弟殺害疑い書類送検へ 近く事故死長男、奈良,https://www.excite.co.jp/news/article/Kyodo_975775238213124096/,母弟殺害疑い書類送検 近く事故死長男 奈良
excite,2022-12-16,11,【独自】阪神西宮駅バス衝突事故 運転手「アクセル、ブレーキを誤操作」 急停車を避けて旋回も減速できず,https://www.excite.co.jp/news/article/kobe_np_976088613939560448/,独自 阪神西宮駅バス衝突事故 運転手 アクセル ブレーキ 誤操作 急停車 旋回 減速
excite,2022-12-16,12,年末年始に無料検査会場 東京駅や新宿駅など8カ所,https://www.excite.co.jp/news/article/FNN_976052421287870464/,年末年始 無料検査会場 東京駅 新宿駅 8カ所
excite,2022-12-16,13,刑務官２２人、受刑者暴行か＝名古屋刑務所、３人に繰り返す―斎藤法相「深刻な事態、厳正対処」,https://www.excite.co.jp/news/article/Jiji_2864155/,刑務官２２人 受刑者暴行 名古屋刑務所 ３人 斎藤法相 深刻 事態 厳正対処
excite,2022-12-16,14,【試乗】RSの名は伊達じゃない！ 細部までスポーティに仕立てられたフィットRSを堪能,https://www.excite.co.jp/news/article/Webcartop_1016052/,試乗 RS 名 伊達 細部 スポーティ フィットRS 堪能
excite,2022-12-16,15,デンソー、今後10年で10兆円投資 ソフト・データ開発増加＝社長,https://www.excite.co.jp/news/article/Reuters_975937013960228864/,デンソー 今後10年 10兆円投資 ソフト データ開発増加 社長
excite,2022-12-16,16,俳優の佐藤蛾次郎さん死去＝「男はつらいよ」７８歳,https://www.excite.co.jp/news/article/Jiji_2865426/,俳優 佐藤蛾次郎さん死去 男 ７８歳
excite,2022-12-16,17,選手村跡の分譲遅れ、訴え却下 五輪延期巡る購入トラブル,https://www.excite.co.jp/news/article/Kyodo_976020884882374656/,選手村跡 分譲 訴え却下 五輪延期 購入トラブル
excite,2022-12-16,18,ADR日本株ランキング～トヨタなど全般軟調、シカゴは大阪比355円安の27605円～,https://www.excite.co.jp/news/article/Fisco_0009350020221216003/,ADR日本株ランキング～トヨタ 全般軟調 シカゴ 大阪比355円安 27605円～
excite,2022-12-16,19,【速報】職場で元女性自衛官にセクハラ・性暴力 加害者の男性隊員5人を懲戒免職,https://www.excite.co.jp/news/article/FNN_976009314791505920/,速報 職場 女性自衛官 セクハラ 性暴力 加害者 男性隊員5人 懲戒免職
excite,2022-12-16,20,三井住友銀頭取に福留朗裕氏 来年4月、三井出身で初,https://www.excite.co.jp/news/article/Kyodo_976000379641430016/,三井住友銀頭取 福留朗裕氏 来年4月 三井出身 初
