media,date,ranking,title,url,words
goo,2022-12-17,1,買わない野菜を“べたべたタッチ” ポリ袋は筒ごと持ち去られることも  スーパーで相次ぐ“迷惑行為”に悲鳴,https://news.goo.ne.jp/article/abematimes/nation/abematimes-10059826.html,野菜 タッチ ポリ袋 筒ごと スーパー 迷惑行為 悲鳴
goo,2022-12-17,2,元信者・飯星景子さんが銃撃事件後初証言 「統一教会は宗教だと思っていません」【報道の日2022】,https://news.goo.ne.jp/article/tbs/nation/tbs-232708.html,信者 飯星景子さん 銃撃事件後 証言 統一教会 宗教 報道 日2022
goo,2022-12-17,3,ワクチン接種後に死亡「遺体の体温が非常に高かった」医師からの指摘も 遺族は厚労省に調査を求める【報道のチカラ】,https://news.goo.ne.jp/article/hicbc/nation/hicbc-238635.html,ワクチン接種後 死亡 遺体 体温 非常 医師 指摘 遺族 厚労省 調査 報道 チカラ
goo,2022-12-17,4,千葉の限界ニュータウン「まさに荒れ放題」 「自分の土地はどこか」と尋ねる人も,https://news.goo.ne.jp/article/yomiuri/nation/20221216-567-OYT1T50100.html,千葉 限界ニュータウン 放題 自分 土地 人
goo,2022-12-17,5,「バカなのかな 」ポケモン新作発売日にAmazon配送業者の「内引き&リサイクルショップ放流」事件が発生！ その荒すぎる手口とは？《40本売って45万円の荒稼ぎ》,https://news.goo.ne.jp/article/bunshun/nation/bunshun-59488.html,バカ ポケモン新作発売日 Amazon配送業者 内引き&リサイクルショップ放流 事件 発生 手口 40本 45万円 荒稼ぎ
goo,2022-12-17,6,今季最強寒気 日本海側は積雪急増の恐れ 北陸は24時間で降雪量80センチ予想,https://news.goo.ne.jp/article/tenkijp/nation/tenkijp-21001.html,今季最強寒気 日本海側 積雪急増 恐れ 北陸 24時間 降雪量80センチ予想
goo,2022-12-17,7,オミクロン株対応ワクチン、接種後に死亡が１９件 因果関係は「評価できない」か「評価中」,https://news.goo.ne.jp/article/yomiuri/nation/20221216-567-OYT1T50240.html,オミクロン株対応ワクチン 接種後 死亡 １９件 因果関係 評価 評価中
goo,2022-12-17,8,2週間天気 18日は強烈寒気 その後はクリスマス寒波が襲来 年末にかけて厳寒,https://news.goo.ne.jp/article/tenkijp/nation/tenkijp-21011.html,2週間天気 18日 強烈寒気 その後 クリスマス寒波 襲来 年末 厳寒
goo,2022-12-17,9,トラックで77歳女性をひき逃げし死亡させたか 44歳男を逮捕 埼玉・飯能市,https://news.goo.ne.jp/article/tbs/nation/tbs-6057896.html,トラック 77歳女性 ひき逃げ 死亡 44歳男 逮捕 埼玉 飯能市
goo,2022-12-17,10,保護者から相次いだ苦情、体罰の訴え軽視した元小学校長「責任感じている」 中１男子が自殺,https://news.goo.ne.jp/article/yomiuri/nation/20221217-567-OYT1T50099.html,保護者 苦情 体罰 訴え軽視 小学校長 責任 中１男子 自殺
