media,date,ranking,title,url,words
mainichi,2022-12-25,1,ケツメイシ・リーダーの息子が激走 埼玉栄のアンカー 高校駅伝,https://mainichi.jp/articles/20221225/k00/00m/050/176000c,ケツメイシ・リーダー 息子 激走 埼玉栄 アンカー 高校駅伝
mainichi,2022-12-25,2,埼玉・飯能3人死亡 住人被害か 容疑者逃走 県警、殺人事件で捜査,https://mainichi.jp/articles/20221225/k00/00m/040/162000c,埼玉 飯能3人死亡 住人被害 容疑者逃走 県警 殺人事件 捜査
mainichi,2022-12-25,3,大会新で優勝の倉敷 肝は「腹八分目、72秒」の練習 高校駅伝男子,https://mainichi.jp/articles/20221225/k00/00m/050/059000c,大会新 優勝 倉敷 肝 腹八分目 72秒 練習 高校駅伝男子
mainichi,2022-12-25,4,倉敷が大会新で4年ぶり優勝 2時間1分10秒 高校駅伝男子,https://mainichi.jp/articles/20221225/k00/00m/050/161000c,倉敷 大会新 4年ぶり優勝 2時間1分10秒 高校駅伝男子
mainichi,2022-12-25,5,神村学園3位 アクシデントから追い上げも頂点届かず 高校駅伝女子,https://mainichi.jp/articles/20221225/k00/00m/050/032000c,神村学園3位 アクシデント 追い上げ 頂点 高校駅伝女子
mainichi,2022-12-25,6,優勝候補の神村学園にアクシデント 1区中継所前で失速 高校駅伝女子,https://mainichi.jp/articles/20221225/k00/00m/050/067000c,優勝候補 神村学園 アクシデント 1区中継所前 失速 高校駅伝女子
mainichi,2022-12-25,7,アンカー涙「負けなしの3年間に」雪辱誓う仙台育英 高校駅伝女子,https://mainichi.jp/articles/20221225/k00/00m/050/171000c,アンカー涙 負け 3年間 雪辱 仙台育英 高校駅伝女子
mainichi,2022-12-25,8,長野東が初優勝 最終5区で逆転 高校駅伝女子,https://mainichi.jp/articles/20221225/k00/00m/050/079000c,長野東 優勝 最終5区 逆転 高校駅伝女子
mainichi,2022-12-25,9,佐久長聖の3区・吉岡大翔 日本高校記録を20秒近く更新 高校駅伝,https://mainichi.jp/articles/20221225/k00/00m/050/169000c,佐久長聖 3区 吉岡 翔 日本高校記録 20秒近く更新 高校駅伝
mainichi,2022-12-25,10,解約していたがん保険 そして医療費は  記者ががんになった,https://mainichi.jp/premier/politics/articles/20221206/pol/00m/010/010000c,解約 がん保険 医療費 記者 がん
mainichi,2022-12-25,11,中国、新型コロナのゲノム解析禁止 感染爆発で変異株の情報統制か,https://mainichi.jp/articles/20221224/k00/00m/030/283000c,中国 新型コロナ ゲノム解析禁止 感染爆発 変異株 情報統制
mainichi,2022-12-25,12,八千代松陰スーパー1年生・鈴木琉胤 「つぼみのままで」の真意,https://mainichi.jp/articles/20221224/k00/00m/050/291000c,八千代松陰スーパー1年生 鈴木琉胤 つぼみ 真意
mainichi,2022-12-25,13,「念のため」の救命胴衣が生死を分けた 水難に遭った男性が語る恐怖,https://mainichi.jp/articles/20221222/k00/00m/040/313000c,念 救命胴衣 生死 水難 男性 恐怖
mainichi,2022-12-25,14,倉敷監督、ポイントの4区で「優勝を確信した」 高校駅伝男子,https://mainichi.jp/articles/20221225/k00/00m/050/178000c,倉敷監督 ポイント 4区 優勝 確信 高校駅伝男子
mainichi,2022-12-25,15,住宅で男女3人死亡 2階で出火も 事件巻き込まれたか 埼玉・飯能,https://mainichi.jp/articles/20221225/k00/00m/040/087000c,住宅 男女3人死亡 2階 出火 事件 埼玉 飯能
mainichi,2022-12-25,16,倉敷アンカー・檜垣蒼「自分の走りできた」 高校駅伝男子,https://mainichi.jp/articles/20221225/k00/00m/050/180000c,倉敷アンカー 檜垣蒼 自分 高校駅伝男子
mainichi,2022-12-25,17,有楽町線からの地下鉄延伸を阻む壁 世界に四つしかない重要施設,https://mainichi.jp/articles/20221221/k00/00m/040/439000c,有楽町線 地下鉄延伸 壁 世界 四つ 重要施設
mainichi,2022-12-25,18,1区の八千代松陰・綾一輝が転倒、ゼッケン外れる 高校駅伝男子,https://mainichi.jp/articles/20221225/k00/00m/050/101000c,1区 八千代松陰 綾一輝 転倒 ゼッケン 高校駅伝男子
mainichi,2022-12-25,19,どうなる？世界選手権の女子代表 残りは「2枠」 全日本フィギュア,https://mainichi.jp/articles/20221225/k00/00m/050/016000c,世界選手権 女子代表 残り 2枠 全日本フィギュア
mainichi,2022-12-25,20,美濃加茂が閉会式を欠席 チーム内に体調不良者 高校駅伝女子 ,https://mainichi.jp/articles/20221225/k00/00m/050/105000c,美濃加茂 閉会式 欠席 チーム内 体調不良者 高校駅伝女子
