media,date,ranking,title,url,words
excite,2022-12-26,1,飯能の民家で男女３人殺害＝逃走の４０歳男を逮捕―１年前、車に被害・埼玉県警,https://www.excite.co.jp/news/article/Jiji_2872283/,飯能 民家 男女３人殺害 逃走 ４０歳男 逮捕 １年前 車 被害 埼玉県警
excite,2022-12-26,2,ラジオ講座の御園和夫さん死亡 交通事故、英語教育で活躍,https://www.excite.co.jp/news/article/Kyodo_979717116109881344/,ラジオ講座 御園和夫さん死亡 交通事故 英語教育 活躍
excite,2022-12-26,3,埼玉3人殺害、近所の男を逮捕 鈍器で殴打か、過去に車傷つける,https://www.excite.co.jp/news/article/Kyodo_979572788561395712/,埼玉3人殺害 近所 男 逮捕 鈍器 殴打 過去 車
excite,2022-12-26,4,フットボールの試合でMVPを獲得した12歳少年 世間は容貌にも大注目,https://www.excite.co.jp/news/article/Sirabee_20162995172/,フットボール 試合 MVP 獲得 12歳少年 世間 容貌 注目
excite,2022-12-26,5,熊本県議が運転手に「殺すぞ」 タクシー内、球場で喫煙も,https://www.excite.co.jp/news/article/Kyodo_979678357551202304/,熊本県議 運転手 タクシー内 球場 喫煙
excite,2022-12-26,6,【速報】男女3人死亡 男が逃走中 埼玉・飯能の住宅 火事も発生,https://www.excite.co.jp/news/article/FNN_979579267823468544/,速報 男女3人死亡 男 逃走中 埼玉 飯能 住宅 火事 発生
excite,2022-12-26,7,【開票結果】成田市長選挙（午後１１時７分、選管確定）,https://www.excite.co.jp/news/article/Chibanippo_excite_1012352/,開票結果 成田市長選挙 午後１１時７分 選管確定
excite,2022-12-26,8,中国警察、日本に「拠点」開設か＝主権侵害の恐れ―外務省,https://www.excite.co.jp/news/article/Jiji_2869376/,中国警察 日本 拠点 開設 主権侵害 恐れ 外務省
excite,2022-12-26,9,野田佳彦元首相、安倍晋三元首相への追悼演説はプロレスからインスピレーション 激動２０２２,https://www.excite.co.jp/news/article/SportsHochi_20221219_OHT1T51129/,野田佳彦 首相 安倍晋三元首相 追悼演説 プロレス インスピレーション 激動２０２２
excite,2022-12-26,10,【独自】“フジテレビ報道”受け急展開 看護師が患者を“殴る・蹴る” 警察も行政も動いた,https://www.excite.co.jp/news/article/FNN_978262275691970560/,独自 フジテレビ報道 展開 看護師 患者 警察 行政
excite,2022-12-26,11,かとうかず子、宮崎入り 東国原英夫氏を応援へ 河野知事は河野太郎氏が応援 宮崎県知事選,https://www.excite.co.jp/news/article/SportsHochi_20221224_OHT1T51057/,かとうかず子 宮崎入り 東国原英夫氏 応援 河野知事 河野太郎氏 応援 宮崎県知事選
excite,2022-12-26,12,二階自民元幹事長「たたき殺す」 番組収録時、死亡説流布に怒り,https://www.excite.co.jp/news/article/Kyodo_979000845716258816/,二階自民 幹事長 番組収録時 死亡説流布 怒り
excite,2022-12-26,13,沖縄の平均寿命、男女とも後退 男性36位→43位、女性7位→16位 2020年の都道府県別,https://www.excite.co.jp/news/article/OkinawaTimes_1078553/,沖縄 平均寿命 男女 後退 男性36位 43位 女性7位 16位 2020年 都道府県別
excite,2022-12-26,14,増税めぐり「国民に判断いただく必要」 自民・萩生田氏 解散総選挙で信を問う姿勢,https://www.excite.co.jp/news/article/FNN_979539668991426560/,増税 国民 判断 必要 自民 萩生田氏 解散 選挙 信 姿勢
excite,2022-12-26,15,女子トイレから出てきた男（63）を逮捕 スーパーマーケットで巡回中の店員が取り押さえる 愛知 ,https://www.excite.co.jp/news/article/cbc_article252133/,女子トイレ 男 逮捕 スーパーマーケット 巡回中 店員 愛知
excite,2022-12-26,16,宮崎県知事選、投票始まる 4選目指す現職に東国原氏ら挑む,https://www.excite.co.jp/news/article/Kyodo_979557543129071616/,宮崎県知事選 投票 4選 現職 東国原氏ら
excite,2022-12-26,17,米国株式市場見通し：ISM景気指数やFOMC議事録、雇用統計など材料多数,https://www.excite.co.jp/news/article/Fisco_0009340020221224017/,米国株式市場見通し ISM景気指数 FOMC議事録 雇用統計 材料多数
excite,2022-12-26,18,政府、受診料6円値上げへ 従来保険証だけ、来春から,https://www.excite.co.jp/news/article/Kyodo_977903818051354624/,政府 受診料6円値上げ 従来保険証 来春
excite,2022-12-26,19,自衛隊掃海艇派遣「首相決断を」 91年公電、駐米大使が促す,https://www.excite.co.jp/news/article/Kyodo_978107016430075904/,自衛隊掃海艇派遣 首相決断 91年公電 駐米大使
excite,2022-12-26,20,タクシーにはねられ、男性が腕や脚骨折 運転手「人影確認してハンドル切ったが 」 神戸,https://www.excite.co.jp/news/article/kobe_np_979538896176365568/,タクシー 男性 腕 脚骨折 運転手 人影確認 ハンドル 神戸
