media,date,ranking,title,url,words
goo,2022-12-15,1,安倍昭恵さん経営の居酒屋・UZU閉店から1カ月 ビルに残されていた1枚の貼り紙,https://news.goo.ne.jp/article/jisin/nation/jisin-https_jisin.jp_p_2159830.html,安倍昭恵さん経営 居酒屋 UZU閉店 1カ月 ビル 1枚 貼り紙
goo,2022-12-15,2,【独占告白】長野市公園廃止問題の名誉教授が180分にわたって反論 近隣住民に「あなたとは次元が違う」とも,https://news.goo.ne.jp/article/dailyshincho/nation/dailyshincho-933648.html,独占告白 長野市公園廃止問題 名誉教授 180分 反論 近隣住民 次元
goo,2022-12-15,3,陸自性暴力 直接関与の５人を懲戒免職 中隊長らも処分,https://news.goo.ne.jp/article/mainichi/nation/mainichi-20221215k0000m040096000c.html,陸自性暴力 直接関与 ５人 懲戒免職 中隊長ら 処分
goo,2022-12-15,4,「襲われて 」登山男性がクマと約30メートル滑落 部下が通報 奈良・大峰山系,https://news.goo.ne.jp/article/ntv_news24/nation/ntv_news24-2022121506955291.html,登山男性 クマ 30メートル滑落 部下 通報 奈良 大峰山系
goo,2022-12-15,5,「自己流で運転」繰り返しブレーキか 観光バス横転、負傷者28人に,https://news.goo.ne.jp/article/asahi_region/nation/asahi_region-ASQDF7H8DQDFUTPB001.html,自己流 運転 繰り返しブレーキ 観光バス横転 負傷者28人
goo,2022-12-15,6,奈良の登山道で「クマに襲われ崖から転落」 現場付近で男性の遺体発見,https://news.goo.ne.jp/article/tbs/nation/tbs-6057545.html,奈良 登山道 クマ 崖 転落 現場付近 男性 遺体発見
goo,2022-12-15,7,【謎の行動】電車内で「けん垂」する男 その正体は 何と県会議員だった なぜ？「記憶が定かでございません」,https://news.goo.ne.jp/article/fnn/nation/fnn-458793.html,謎 行動 電車内 垂 男 正体 県会議員 記憶 定か
goo,2022-12-15,8,平塚市“夫婦”遺体遺棄疑い 「息子から暴力」通報くり返す,https://news.goo.ne.jp/article/ntv_news24/nation/ntv_news24-2022121501227468.html,平塚市 夫婦 遺体遺棄疑い 息子 暴力 通報くり
goo,2022-12-15,9,クリスマス寒波襲来か 年末・年始は底冷え 日本海側は大雪のおそれ 1か月予報,https://news.goo.ne.jp/article/tenkijp/nation/tenkijp-20980.html,クリスマス寒波襲来 年末 年始 底冷え 日本海側 大雪 1か月予報
goo,2022-12-15,10,三木谷浩史氏「政府与党は課税強化を見直すべき 有能な人材が日本から出ていく」,https://news.goo.ne.jp/article/bunshun/nation/bunshun-59395.html,三木谷浩史氏 政府与党 課税強化 有能 人材 日本
