media,date,ranking,title,url,words
mainichi,2022-12-15,1,陸自性暴力 直接関与の5人を懲戒免職 中隊長らも処分,https://mainichi.jp/articles/20221215/k00/00m/040/096000c,陸自性暴力 直接関与 5人 懲戒免職 中隊長ら 処分
mainichi,2022-12-15,2,DVDの鑑賞邪魔され「怒り爆発」 60歳被告、両親殺害で初公判,https://mainichi.jp/articles/20221214/k00/00m/040/285000c,DVD 鑑賞邪魔 怒り爆発 60歳被告 両親殺害 公判
mainichi,2022-12-15,3,大阪・枚方市立中、いじめ訴えに7カ月対応せず 市教委「重大事態」,https://mainichi.jp/articles/20221215/k00/00m/040/311000c,大阪 枚方市立中 いじめ訴え 7カ月対応 市教委 重大事態
mainichi,2022-12-15,4,阪急・阪神「客に説明つかぬ」衣類販売中止 賃金未払い実習生が生産,https://mainichi.jp/articles/20221214/k00/00m/040/107000c,阪急 阪神 客 説明 衣類販売中止 賃金未払い実習生 生産
mainichi,2022-12-15,5,陸自性暴力 隊員4人が謝罪、退職意向 五ノ井里奈さん「区切りに」,https://mainichi.jp/articles/20221017/k00/00m/040/142000c,陸自性暴力 隊員4人 謝罪 退職意向 井里奈さん 区切り
mainichi,2022-12-15,6,性暴力被害の元自衛官「私の傷は一生の傷」 加害者の直接謝罪受け涙,https://mainichi.jp/articles/20221017/k00/00m/040/009000c,性暴力被害 自衛官 傷 一生 傷 加害者 直接謝罪 涙
mainichi,2022-12-15,7,安倍氏後継に杉田水脈氏？昭恵さんの擁立断念 衆院補選の人選難航,https://mainichi.jp/articles/20221213/k00/00m/010/329000c,安倍氏後継 杉田水脈氏 昭恵さん 擁立断念 衆院補選 人選難航
mainichi,2022-12-15,8,四日市市、斎場使用料見直しへ 市外一時転出の場合も「市民」扱い,https://mainichi.jp/articles/20221215/k00/00m/040/305000c,四日市市 斎場使用料見直し 市外一時転出 場合 市民 扱い
mainichi,2022-12-15,9,セクハラや性暴力「男女問わず日常的に」 元自衛官・一問一答,https://mainichi.jp/articles/20221007/k00/00m/040/198000c,セクハラ 性暴力 男女 日常的 自衛官 一問一答
mainichi,2022-12-15,10,司法修習生64人が新型コロナ感染 大半が食事会に参加,https://mainichi.jp/articles/20221215/k00/00m/040/322000c,司法修習生64人 新型コロナ感染 大半 食事会 参加
mainichi,2022-12-15,11,今年最高の花に咲八姫 鹿児島県開発の「絵になる」テッポウユリ,https://mainichi.jp/articles/20221215/k00/00m/040/301000c,今年最高 花 咲八姫 鹿児島県開発 絵 テッポウユリ
mainichi,2022-12-15,12,なぜ自衛隊の性被害は声を上げにくいのか 防衛大出身記者が解説,https://mainichi.jp/articles/20221017/k00/00m/040/057000c,自衛隊 性被害 声 防衛 出身記者 解説
mainichi,2022-12-15,13,防衛増税 岸田首相、裏目に出た先手 党内反発につじつま合わせ,https://mainichi.jp/articles/20221215/k00/00m/010/302000c,防衛増税 岸田首相 裏目 先手 党内反発 つじつま合わせ
mainichi,2022-12-15,14,「強く、自分らしく生きる」 五ノ井里奈さんのことば 陸自性暴力,https://mainichi.jp/articles/20221214/k00/00m/040/296000c,自分 井里奈さん ことば 陸自性暴力
mainichi,2022-12-15,15,「浸水して足まで」「冷たすぎ泳げない」船内の悲痛な声 知床事故,https://mainichi.jp/articles/20221214/k00/00m/040/179000c,浸水 足 船内 悲痛 声 知床事故
mainichi,2022-12-15,16,陸自性暴力 別の女性隊員も被害 懲戒免職の隊員らから,https://mainichi.jp/articles/20221215/k00/00m/040/097000c,陸自性暴力 別 女性隊員 被害 懲戒免職 隊員ら
mainichi,2022-12-15,17,ヤクルト1000に続け 睡眠改善ドリンク続々 人気どこまで？,https://mainichi.jp/articles/20221214/k00/00m/020/087000c,ヤクルト1000 睡眠改善ドリンク 人気どこ
mainichi,2022-12-15,18,安倍派、なお渦巻く首相への不満 存在感維持「遺志」掲げ先鋭化,https://mainichi.jp/articles/20221215/k00/00m/010/308000c,安倍派 首相 不満 存在感維持 遺志 先鋭化
mainichi,2022-12-15,19,「差別される」恐怖心が奪った誇り 方言札が語る祖国復帰の思い,https://mainichi.jp/articles/20221215/k00/00m/040/202000c,差別 恐怖心 誇り 方言札 祖国復帰 思い
mainichi,2022-12-15,20,記者会見で広がるアクリル板撤去 厚労相は距離保ちマスクなし,https://mainichi.jp/articles/20221215/k00/00m/040/031000c,記者会見 アクリル板撤去 厚労相 距離 マスク
