media,date,ranking,title,url,words
nikkei,2022-12-24,1,エコノミストが選ぶ 経済図書ベスト10（2022年）,https://www.nikkei.com/article/DGXZQOUD064F00W2A201C2000000/,エコノミスト 経済図書ベスト10 2022年
nikkei,2022-12-24,2,中国のコロナ感染、12月に2億4800万人か 資料流出,https://www.nikkei.com/article/DGXZQOCB23BY40T21C22A2000000/,中国 コロナ感染 12月 2億4800万人 資料流出
nikkei,2022-12-24,3,国内損保、ロシア全域で船舶保険停止 LNG輸入に影響か,https://www.nikkei.com/article/DGXZQOUB23D7O0T21C22A2000000/,国内損保 ロシア全域 船舶保険停止 LNG輸入 影響
nikkei,2022-12-24,4,職場に図書館、交流・学びの場 離れていても本が結ぶ縁,https://www.nikkei.com/article/DGXZQOUD098PM0Z01C22A1000000/,職場 図書館 交流 学び 場 本 縁
nikkei,2022-12-24,5,来年度予算案、最大の114兆円決定 国債依存なお3割超 コロナ有事、脱却できず,https://www.nikkei.com/article/DGKKZO67127410U2A221C2MM8000/,来年度予算案 最大 114兆円決定 国債依存 3割超 コロナ有事 脱却
nikkei,2022-12-24,6,極まる株安への備え（NY特急便）,https://www.nikkei.com/article/DGXZQOGN00003_U2A221C2000000/,株安 備え NY特急便
nikkei,2022-12-24,7,異常気象、「温暖化が原因」で決着 仮想の地球が証明,https://www.nikkei.com/article/DGXZQOUA295MA0Z21C22A1000000/,異常気象 温暖化 原因 決着 仮想 地球 証明
nikkei,2022-12-24,8,ロシア全域で船舶保険停止 日本の損保 LNG輸入に影響も,https://www.nikkei.com/article/DGKKZO67127490U2A221C2MM8000/,ロシア全域 船舶保険停止 日本 損保 LNG輸入 影響
nikkei,2022-12-24,9,TSMC、欧州生産進出 ドイツに半導体工場検討,https://www.nikkei.com/article/DGKKZO67127510U2A221C2MM8000/,TSMC 欧州生産進出 ドイツ 半導体工場検討
nikkei,2022-12-24,10,（春秋）第1次世界大戦中の1914年12月25日朝。最初に1人のドイツ兵が腕を振っているのが見えた。続いて何人かが塹壕（ざんごう,https://www.nikkei.com/article/DGKKZO67127550U2A221C2MM8000/,春秋 1次世界大戦中 1914年12月25日朝 最初 1人 ドイツ兵 腕 何人 塹壕 ざんごう
nikkei,2022-12-24,11,イールドカーブ、緩和修正で注目 ゆがむと何が問題？,https://www.nikkei.com/article/DGXZQOUB237MW0T21C22A2000000/,イールドカーブ 緩和修正 注目 問題
nikkei,2022-12-24,12,（データで読む地域再生）子育て支援、量から質へ 180都市調査 東京・豊島区1位 出産前から保育園に相談,https://www.nikkei.com/article/DGKKZO67125840U2A221C2EA1000/,データ 地域再生 子育て支援 量 質 180都市調査 東京 豊島区1位 出産前 保育園 相談
nikkei,2022-12-24,13,TikTok、記者情報に不正アクセス 取材源追跡試みる 米で包囲網狭まる,https://www.nikkei.com/article/DGKKZO67125900U2A221C2EA1000/,TikTok 記者情報 不正アクセス 取材源追跡 米 包囲網
nikkei,2022-12-24,14,（Deep Insight）アップル大移動の先には,https://www.nikkei.com/article/DGKKZO67097150T21C22A2TCR000/,Deep Insight アップル 移動 先
nikkei,2022-12-24,15,ニトリ純利益12%減 3～11月、初の2年連続減益 海外生産、円安痛手に,https://www.nikkei.com/article/DGKKZO67120680T21C22A2EA5000/,ニトリ 利益12%減 3～11月 初 2年連続減益 海外生産 円安痛手
nikkei,2022-12-24,16,防衛・GX・子ども 重点3分野、規模ありき 来年度予算案、財源確保で詰め急務,https://www.nikkei.com/article/DGKKZO67125520U2A221C2EA2000/,防衛 GX 子ども 重点3分野 規模 来年度予算案 財源確保 詰め急務
nikkei,2022-12-24,17,（きょうのことば）BNPL 「今買って後で払う」決済,https://www.nikkei.com/article/DGKKZO67125710U2A221C2EA2000/,きょう ことば BNPL 今 決済
nikkei,2022-12-24,18,「あなたは有事の宰相」 首相、麻生氏の言葉明かす,https://www.nikkei.com/article/DGKKZO67124310T21C22A2EA3000/,有事 宰相 首相 麻生氏 言葉
nikkei,2022-12-24,19,「特定秘密」初の漏えいか 防衛省、海自1佐を懲戒へ,https://www.nikkei.com/article/DGXZQOUE241BG0U2A221C2000000/,特定秘密 初 漏えい 防衛省 海 1佐 懲戒
nikkei,2022-12-24,20,脱炭素やデジタル分野、首相「大胆に投資・改革」 本社講演会,https://www.nikkei.com/article/DGKKZO67127530U2A221C2MM8000/,炭素 デジタル分野 首相 大胆 投資 改革 本社講演会
nikkei,2022-12-24,21,秋葉復興相、辞任論強まる 通常国会で追及必至 公選法巡る問題 火種懸念、年内にも判断,https://www.nikkei.com/article/DGKKZO67124100T21C22A2EA3000/,秋葉復興相 辞任論 通常国会 追及必至 公選法 問題 火種懸念 年内 判断
nikkei,2022-12-24,22,石化・鋼材、アジアで急落 今年ピーク比3～6割安 内需不振の中国、輸出拡大,https://www.nikkei.com/article/DGKKZO67125640U2A221C2EA2000/,石化 鋼材 アジア 急落 今年ピーク比3～6割安 内需不振 中国 輸出拡大
nikkei,2022-12-24,23,日本の1人あたり名目GDP、20位に後退 昨年,https://www.nikkei.com/article/DGKKZO67126340U2A221C2EA4000/,日本 1人あたり名目GDP 20位 後退 昨年
nikkei,2022-12-24,24,三菱UFJ銀、東南アで後払い決済企業に出資,https://www.nikkei.com/article/DGKKZO67125920U2A221C2EA1000/,三菱UFJ銀 東南ア 後払い決済企業 出資
nikkei,2022-12-24,25,（トップストーリー）税制改正、相続節税に逆風 生前贈与の課税範囲 広く,https://www.nikkei.com/article/DGKKZO67091470T21C22A2PPK000/,トップストーリー 税制改正 相続節税 逆風 生前贈与 課税範囲
nikkei,2022-12-24,26,防衛費26%増の6.8兆円 公共事業費を初めて超す,https://www.nikkei.com/article/DGKKZO67127460U2A221C2MM8000/,防衛費26%増 6.8兆円 公共事業費
nikkei,2022-12-24,27,米国「歴史的な寒波」 欠航や停電、クリスマス直撃,https://www.nikkei.com/article/DGXZQOGN23DEZ0T21C22A2000000/,米国 歴史的 寒波 欠航 停電 クリスマス直撃
nikkei,2022-12-24,28,〈回顧 2022〉エコノミストが選ぶ 経済図書ベスト10 歴史的転換に警鐘鳴らす 岐路での賢い「行動」に道筋,https://www.nikkei.com/article/DGKKZO67094400T21C22A2MY6000/,回顧 エコノミスト 経済図書ベスト10 歴史的転換 警鐘 岐路 行動 道筋
