media,date,ranking,title,url,words
excite,2022-12-23,1,沖縄の平均寿命、男女とも後退 男性36位→43位、女性7位→16位 2020年の都道府県別,https://www.excite.co.jp/news/article/OkinawaTimes_1078553/,沖縄 平均寿命 男女 後退 男性36位 43位 女性7位 16位 2020年 都道府県別
excite,2022-12-23,2,こぼれた水飲むよう指示か 勾留死、弁当裏返しに提供疑いも,https://www.excite.co.jp/news/article/Kyodo_978942261868904448/,水 よう指示 勾留死 弁当裏返し 提供疑い
excite,2022-12-23,3,東武動物公園が臨時休園「当面のあいだ」 鉄道の企画券も休止 鳥インフル,https://www.excite.co.jp/news/article/Trafficnews_123511/,東武動物公園 臨時休園 当面 あいだ 鉄道 企画券 休止 鳥インフル
excite,2022-12-23,4,コロナとインフル同時流行に 「両方は苦しい」医療機関悲鳴,https://www.excite.co.jp/news/article/FNN_978973157215322112/,コロナ インフル同時流行 両方 医療機関悲鳴
excite,2022-12-23,5,南国でも大雪 6時間立ち往生 「早く帰りたい」列島大混乱,https://www.excite.co.jp/news/article/FNN_978967573403648000/,南国 大雪 6時間立ち往生 列島 混乱
excite,2022-12-23,6,“強風東京”原宿で街路樹倒れる 飛行機もフラフラ...注意報も,https://www.excite.co.jp/news/article/FNN_978939669058961408/,強風東京 原宿 街路樹 飛行機 ...注意報
excite,2022-12-23,7,ウイグル強制労働で質問状 米上院、トヨタやホンダに,https://www.excite.co.jp/news/article/Kyodo_978839083001298944/,ウイグル強制労働 質問状 米上院 トヨタ ホンダ
excite,2022-12-23,8,島根の漁船、対馬で座礁 乗組員19人、船内待機,https://www.excite.co.jp/news/article/Kyodo_978821334326149120/,島根 漁船 対馬 座礁 乗組員19人 船内待機
excite,2022-12-23,9,【速報】ケンタッキーに車突っこむ 74歳女性「踏み間違えた」,https://www.excite.co.jp/news/article/FNN_978931766469984256/,速報 ケンタッキー 車 74歳女性
excite,2022-12-23,10,学童の待機児童３年ぶり増＝コロナ禍から利用回復―厚労省,https://www.excite.co.jp/news/article/Jiji_2871713/,学童 待機児童３年ぶり増 コロナ禍 利用回復 厚労省
excite,2022-12-23,11,家賃滞納で退去命じられ不満か 神奈川刺殺疑い、逮捕の男,https://www.excite.co.jp/news/article/Kyodo_978957837367721984/,家賃滞納 退去 不満 神奈川刺殺疑い 逮捕 男
excite,2022-12-23,12,政府「軽症なら自宅療養して」 年末年始、同時流行懸念で,https://www.excite.co.jp/news/article/Kyodo_978954338902638592/,政府 軽症 自宅療養 年末年始 同時流行懸念
excite,2022-12-23,13,他の受刑者に命狙われ  ベッカー氏、服役生活「恐ろしかった」,https://www.excite.co.jp/news/article/Jiji_2871095/,他 受刑者 命 ベッカー氏 服役生活
excite,2022-12-23,14,【速報】コンテナの下敷き 2人が死亡 工事現場でクレーンから落下 愛知・新城市,https://www.excite.co.jp/news/article/FNN_978863091452248064/,速報 コンテナ 下敷き 2人 死亡 工事現場 クレーン 落下 愛知 新城市
excite,2022-12-23,15,【速報】北海道・函館市で路面電車が脱線 氷点下4度 積雪は27cmの中,https://www.excite.co.jp/news/article/FNN_976377739909873664/,速報 北海道 函館市 路面電車 脱線 氷点下4度 積雪 27cm
excite,2022-12-23,16,妻殺害容疑の長野県議除名、自民 統一選影響を考慮,https://www.excite.co.jp/news/article/Kyodo_977115094540091392/,妻殺害容疑 長野県議除名 自民 統一選影響 考慮
excite,2022-12-23,17,半導体ルネサス、北京工場を停止 コロナ感染者増加で,https://www.excite.co.jp/news/article/Kyodo_976771835921285120/,半導体ルネサス 北京工場 停止 コロナ感染者増加
excite,2022-12-23,18,【炎上】軽自動車がトラックと衝突 信号機やカーブミラー燃やす 軽自動車側に一時停止の標識 熊本,https://www.excite.co.jp/news/article/FNN_978902984630910976/,炎上 軽自動車 トラック 衝突 信号機 カーブミラー 軽自動車側 一時停止 標識 熊本
excite,2022-12-23,19,推定60～70代の男性で痩せ型 「HYPE」の帽子 沖縄・宜野湾市の公園で見つかった遺体,https://www.excite.co.jp/news/article/OkinawaTimes_1078274/,推定60～70代 男性 型 HYPE 帽子 沖縄 宜野湾市 公園 遺体
excite,2022-12-23,20,【独自】ローソン ホットミルク半額へ 大みそか･元日 冬休み“生乳”廃棄回避に一役,https://www.excite.co.jp/news/article/FNN_977466343926808576/,独自 ローソン ホットミルク半額 大みそか･元日 冬休み 生乳 廃棄回避 一役
