media,date,ranking,title,url,words
goo,2022-12-21,1,高校バスケ部コーチから「シュートするな」、パワハラ訴え女子生徒が提訴,https://news.goo.ne.jp/article/yomiuri/nation/20221220-567-OYT1T50233.html,高校バスケ部コーチ シュート パワハラ 女子生徒 提訴
goo,2022-12-21,2,政治と関わり、9宗教法人 投票呼びかけ、共同通信調査,https://news.goo.ne.jp/article/kyodo_nor/nation/kyodo_nor-2022122001001249.html,政治 9宗教法人 投票 共同通信調査
goo,2022-12-21,3,【速報】東京・渋谷道玄坂の路上 複数人が男性殴って財布奪う 1人逮捕 ほか逃走中,https://news.goo.ne.jp/article/tbs/nation/tbs-6058518.html,速報 東京 渋谷道玄坂 路上 複数人 男性 財布 1人逮捕 ほか逃走中
goo,2022-12-21,4,クマに遭遇した時、絶対にやってはいけない“左右の動き” 日米のクマ研究者が伝授する「伏せて首をガード」,https://news.goo.ne.jp/article/fnn/nation/fnn-460635.html,クマ 遭遇 絶対 左右 動き 日米 クマ研究者 伝授 首 ガード
goo,2022-12-21,5,茅ヶ崎市男性“刺殺” 上半身の複数箇所を刺されていたことが判明 強い殺意で犯行か 男は逃走中,https://news.goo.ne.jp/article/ntv_news24/nation/ntv_news24-2022122104875353.html,茅ヶ崎市男性 刺殺 上半身 複数箇所 判明 殺意 犯行 男 逃走中
goo,2022-12-21,6,タクシー運転手のスマホを取り上げた疑い 「ジャンカラ」社長逮捕,https://news.goo.ne.jp/article/mainichi/nation/mainichi-20221220k0000m040193000c.html,タクシー運転手 スマホ 疑い ジャンカラ 社長逮捕
goo,2022-12-21,7,福岡県や佐賀県など広範囲で硫黄の臭い 通報相次いだが、原因は不明,https://news.goo.ne.jp/article/asahi/nation/ASQDP34BDQDPTIPE001.html,福岡県 佐賀県 広範囲 硫黄 通報 原因 不明
goo,2022-12-21,8,“クリスマス寒波”襲来 雨のあと雪も 車の立ち往生に再び警戒,https://news.goo.ne.jp/article/ntv_news24/nation/ntv_news24-2022122101359696.html,クリスマス寒波 襲来 雨 あと雪 車 立ち往生 警戒
goo,2022-12-21,9,2週間天気 今季最強寒波がクリスマスにかけて襲来 大雪警戒 年末年始も厳しい寒さ,https://news.goo.ne.jp/article/tenkijp/nation/tenkijp-21068.html,2週間天気 今季最強寒波 クリスマス 襲来 大雪警戒 年末年始 さ
goo,2022-12-21,10,添乗員判断で男児送らせる 旅行バス乗せ忘れ、福井,https://news.goo.ne.jp/article/kyodo_nor/nation/kyodo_nor-2022121901001345.html,添乗員判断 男児 旅行バス 福井
