media,date,ranking,title,url,words
goo,2022-12-18,1,「バカなのかな 」ポケモン新作発売日にAmazon配送業者の「内引き&リサイクルショップ放流」事件が発生！ その荒すぎる手口とは？《40本売って45万円の荒稼ぎ》,https://news.goo.ne.jp/article/bunshun/nation/bunshun-59488.html,バカ ポケモン新作発売日 Amazon配送業者 内引き&リサイクルショップ放流 事件 発生 手口 40本 45万円 荒稼ぎ
goo,2022-12-18,2,ワクチン接種後に死亡「遺体の体温が非常に高かった」医師からの指摘も 遺族は厚労省に調査を求める【報道のチカラ】,https://news.goo.ne.jp/article/hicbc/nation/hicbc-238635.html,ワクチン接種後 死亡 遺体 体温 非常 医師 指摘 遺族 厚労省 調査 報道 チカラ
goo,2022-12-18,3,《官房長官、里親になる!?》「児相も僕のことは”里じい”だと 」大物政治家・塩崎恭久 が“里子”のために70歳以降の人生をささげるワケ,https://news.goo.ne.jp/article/bunshun/nation/bunshun-59352.html,官房長官 里親 !?》「児相 里じい 大物政治家 塩崎恭久 里子 70歳以降 人生 ワケ
goo,2022-12-18,4,買わない野菜を“べたべたタッチ” ポリ袋は筒ごと持ち去られることも  スーパーで相次ぐ“迷惑行為”に悲鳴,https://news.goo.ne.jp/article/abematimes/nation/abematimes-10059826.html,野菜 タッチ ポリ袋 筒ごと スーパー 迷惑行為 悲鳴
goo,2022-12-18,5,「戒具」で３時間弱拘束、覚醒剤事件で勾留中の４０代男性死亡 大阪府警,https://news.goo.ne.jp/article/sankei/nation/sankei-_affairs_crime_JMO3MONJIZMN3BD3YPWY2T3Y6U.html,戒具 ３時間弱拘束 覚醒剤事件 勾留中 ４０代男性死亡 大阪府警
goo,2022-12-18,6,宮崎県で最大震度4のやや強い地震 宮崎県・宮崎市、日南市,https://news.goo.ne.jp/article/tbs/nation/tbs-239172.html,宮崎県 最大震度4 地震 宮崎県 宮崎市 日南市
goo,2022-12-18,7,元信者・飯星景子さんが銃撃事件後初証言 「統一教会は宗教だと思っていません」【報道の日2022】,https://news.goo.ne.jp/article/tbs/nation/tbs-232708.html,信者 飯星景子さん 銃撃事件後 証言 統一教会 宗教 報道 日2022
goo,2022-12-18,8,今日18日(日)の天気 東北や北陸で大雪 西日本も積雪のおそれ,https://news.goo.ne.jp/article/weathernews/nation/weathernews-http_weathernews.jp_s_topics_202212_180005_.html,今日18日(日) 天気 東北 北陸 大雪 西日本 積雪
goo,2022-12-18,9,関東で今季初の真冬日,https://news.goo.ne.jp/article/tenkijp/nation/tenkijp-21016.html,関東 今季初 真冬日
goo,2022-12-18,10,2週間天気 18日は強烈寒気 その後はクリスマス寒波が襲来 年末にかけて厳寒,https://news.goo.ne.jp/article/tenkijp/nation/tenkijp-21011.html,2週間天気 18日 強烈寒気 その後 クリスマス寒波 襲来 年末 厳寒
